ID,Domain,Sub-Domain,Topic Area,Question Text,Choice A,Choice B,Choice C,Choice D,Choice E,Choice F,Choice G,Choice H,Choice I,Choice J,Choice K,Choice L,Choice N,Choice N,Correct Answer(s)
834,,,,What testing technique enables the designer to develop mitigation strategies for potential vulnerabilities?,Manual inspections and reviews,Penetration testing,Threat modeling,Source code review,,,,,,,,,,,C
835,,,,"When dealing with shared, privilaged accounts, especially those for emergencies, what is the BEST way to assure non-repudiation of logs?",Regularity change the passwords,Implement a password vaulting solution.,Lock passwords in tamperproof envelopes in a safe.,Implement a strict access control policy.,,,,,,,,,,,B
836,,,,Which of the following will have the MOST influence on the definition and creation of data classification and data ownership policies?2324,Data access control policies2526,Threat modeling2728,Common Criteria (CC)2930,Business Impact Analysis (BIA)3132,,,,,,,,,,,A
837,,,,W37hich of the following is used to38 detect steganography?,Audio analysis,Statistical analysis,Reverse engineering,Cryptanalysis,,,,,,,,,,,C
838,,,,Which of the following practices provides the development team with a definition of security and identification of threats in designing software?,Penetration testing,Stakeholder review,Threat modeling,Requirements review,,,,,,,,,,,C
839,,,,What is the MOST common component of a vulnerability management framework?,Risk analysis,Patch management,Threat analysis,Backup management,,,,,,,,,,,B
840,,,,"Limiting the processor, memory, and Input/output (I/O) capabilities of mobile code is known as",code restriction.,on-demand compile.,sandboxing.,compartmentalization.,,,,,,,,,,,C
841,,,,What is the PRIMARY purpose for an organization to conduct a security audit?,To ensure the organization is adhering to a well-defined standard,To ensure the organization is applying security controls to mitigate identified risks,To ensure the organization is configuring information systems efficiently,To ensure the organization is documenting findings,,,,,,,,,,,A
842,,,,Which of the following is the MOST important reason for using a chain of custody from?,To document those who were In possession of the evidence at every point In time,To collect records of all digital forensic professionals working on a case,To document collected digital evidence,To ensure that digital evidence is not overlooked during the analysis,,,,,,,,,,,A
843,,,,Which of the following four iterative steps are conducted on third-party vendors in an on-going basis?,"Investigate, Evaluate, Respond, Monitor","Frame, Assess, Respond, Monitor","Frame, Assess, Remediate, Monitor","Investigate, Assess, Remediate, Monitor",,,,,,,,,,,C
844,,,,An organization has a short-term agreement with a public Cloud Service Provider (CSP). Which of the following BEST protects sensitive data once the agreement expires and the assets are reused?,Recommended that the business data owners use continuous monitoring and analysis of applications to prevent data loss.,Recommend that the business data owners use internal encryption keys for data-at-rest and data-in-transit to the storage environment.,Use a contractual agreement to ensure the CSP wipes the data from the storage environment.,Use a National Institute of Standards and Technology (NIST) recommendation for wiping data on the storage environment.,,,,,,,,,,,C
845,,,,Which of the following is a method of attacking internet (IP) v6 Layer 3 and Layer 4 ?,Synchronize sequence numbers (SVN) flooding,Internet Control Message Protocol (IOP) flooring,Domain Name Server [DNS) cache poisoning,Media Access Control (MAC) flooding,,,,,,,,,,,A
846,,,,Which of the following types of data would be MOST difficult to detect by a forensic examiner?,Slack space data,Steganographic data,File system deleted data,Data stored with a different file type extension,,,,,,,,,,,C
847,,,,Which is the MOST critical aspect of computer-generated evidence?,Objectivity,Integrity,Timeliness,Relevancy,,,,,,,,,,,B
848,,,,Which of the following is a characteristic of convert security testing?,Induces less risk than over testing,Tests staff knowledge and Implementation of the organization's security policy,Focuses an Identifying vulnerabilities,Tests and validates all security controls in the organization,,,,,,,,,,,B
849,,,,How can an attacker exploit overflow to execute arbitrary code?,Modify a function's return address.,Alter the address of the stack.,Substitute elements in the stack.,Move the stack pointer.,,,,,,,,,,,A
850,,,,Which of the following is the PRIMARY mechanism used to limit the range of objects available to a given subject within different execution domains?,Process isolation,Data hiding and abstraction,Use of discrete layering and Application Programming Interfaces (API),Virtual Private Network (VPN),,,,,,,,,,,C
851,,,,A security practitioner has been tasked with establishing organizational asset handling procedures. What should be considered that would have the GRFATEST impact to the development of these procedures?,Media handling procedures,User roles and responsibilities,Acceptable Use Policy (ALP),Information classification scheme,,,,,,,,,,,D
852,,,,"When adopting software as a service (Saas), which security responsibility will remain with remain with the adopting organization?",Physical security,Data classification,Network control,Application layer control,,,,,,,,,,,B
853,,,,"Compared with hardware cryptography, software cryptography is generally",less expensive and slower.,more expensive and faster.,more expensive and slower.,less expensive and faster.,,,,,,,,,,,A
854,,,,Additional padding may be added to toe Encapsulating Security Protocol (ESP) b trailer to provide which of the following?,Access control,Partial traffic flow confidentiality,Protection against replay attack,Data origin authentication,,,,,,,,,,,C
855,,,,What are the roles within a scrum methodology?,"Scrum master, retirements manager, and development team","System owner, scrum master, and development team","Scrum master, quality assurance team, and scrum team","Product owner, scrum master, and scrum team",,,,,,,,,,,D
856,,,,Which of the following is mobile device remote fingerprinting?,Installing an application to retrieve common characteristics of the device,Storing information about a remote device in a cookie file,Identifying a device based on common characteristics shared by all devices of a certain type,Retrieving the serial number of the mobile device,,,,,,,,,,,C
857,,,,What should be used immediately after a Business Continuity Plan (BCP) has been invoked?,Resumption procedures describing the actions to be taken to return to normal business operations,Emergency procedures describing the necessary actions to be taken following an incident jeopardizes business operations,Fallback procedures describing what action are to be taken to more essential business activities to alternative temporary locations,Maintain schedule how and the plan will be tested and the process for maintaining the plan,,,,,,,,,,,B
858,,,,Which of the following System and Organization Controls (SOC) report types should an organization request if they require a period of time report covering security and availability for a particular system?,SOC 1 Type1,SOC 1Type2,SOC 2 Type 1,SOC 2 Type 2,,,,,,,,,,,D
859,,,,Which of the following is the GREATEST security risk associated with the user of identity as a service (IDaaS) when an organization its own software?,Incompatibility with Federated Identity Management (FIM),Increased likelihood of confidentiality breach,Denial of access due to reduced availability,Security Assertion Markup Language (SAM) integration,,,,,,,,,,,B
860,,,,Which of the following is a MAJOR concern when there is a need to preserve or retain information for future retrieval?,"Laws and regulations may change in the interim, making it unnecessary to retain the information.",The expense of retaining the information could become untenable for the organization.,The organization may lose track of the information and not dispose of it securely.,The technology needed to retrieve the information may not be available in the future.,,,,,,,,,,,C
861,,,,The Secure Shell (SSH) version 2 protocol supports.,"availability, accountability, compression, and integrity","authentication, availability, confidentiality, and integrity.","accountability, compression, confidentiality, and integrity","authentication, compression, confidentiality, and integrity.",,,,,,,,,,,D
862,,,,A corporate security policy specifies that all devices on the network must have updated operating system patches and anti-malware software. Which technology should be used to enforce this policy?,Network Address Translation (NAT),Stateful Inspection,Packet filtering,Network Access Control (NAC),,,,,,,,,,,D
863,,,,"A large corporation is looking for a solution to automate access based on where the request is coming from, who the user is, what device they are connecting with, and what and time of day they are attempting this access. What type of solution would suit their needs?",Mandatory Access Control (MAC),Network Access Control (NAC),Role Based Access Control (RBAC),Discretionary Access Control (DAC),,,,,,,,,,,B
864,,,,Vulnerability scanners may allow for the administrator to assign which of the following in order to assist in prioritizing remediation activities?,Definitions for each exposure type,Vulnerability attack vectors,Asset values for networks,Exploit code metrics,,,,,,,,,,,C
865,,,,Which of the following encryption types is used in Hash Message Authentication Code (HMAC) for key distribution?,Symmetric,Asymmetric,Ephemeral,Permanent,,,,,,,,,,,A
866,,,,Functional security testing is MOST critical during which phase of the system development life cycle (SDLC)?,Operations / Maintenance,Implementation,Acquisition / Development,Initiation,,,,,,,,,,,B
867,,,,What access control scheme uses fine-grained rules to specify the conditions under which access to each data item or applications is granted?,Mandatory Access Control (MAC),Discretionary Access Control (DAC),Role Based Access Control (RBAC),Attribute Based Access Control (ABAC),,,,,,,,,,,D
868,,,,Which of the following is a characteristic of the independent testing of a program?,Independent testing increases the likelihood that a test will expose the effect of a hidden feature.,Independent testing decreases the likelihood that a test will expose the effect of a hidden feature.,Independent testing teams help decrease the cost of creating test data and system design specification.,Independent testing teams help identify functional requirements and Service Level Agreements (SLA),,,,,,,,,,,A
869,,,,Physical assets defined in an organization’s Business Impact Analysis (BIA) could include which of the following?,Personal belongings of organizational staff members,Supplies kept off-site at a remote facility,Cloud-based applications,Disaster Recovery (DR) line-item revenues,,,,,,,,,,,B
870,,,,How long should the records on a project be retained?,"For the duration of the project, or at the discretion of the record owner",Until they are no longer useful or required by policy,"Until five years after the project ends, then move to archives",For the duration of the organization fiscal year,,,,,,,,,,,B
871,,,,Which of the following value comparisons MOST accurately reflects the agile development approach?,Processes and toots over individuals and interactions,Contract negotiation over customer collaboration,Following a plan over responding to change,Working software over comprehensive documentation,,,,,,,,,,,D
872,,,,Which of the following techniques is effective to detect taps in fiber optic cables?,Taking baseline signal level of the cable,Measuring signal through external oscillator solution devices,Outlining electromagnetic field strength,Performing network vulnerability scanning,,,,,,,,,,,B
873,,,,"If a content management system (CMC) is implemented, which one of the following would occur?",Developers would no longer have access to production systems,The applications placed into production would be secure,Patching the systems would be completed more quickly,The test and production systems would be running the same software,,,,,,,,,,,D
874,,,,Copyright provides protection for which of the following?,Discoveries of natural phenomena,New and non-obvious invention,A particular expression of an idea,Ideas expressed in literary works,,,,,,,,,,,C
875,,,,"Internet protocol security (IPSec), point-to-point tunneling protocol (PPTP), and secure sockets Layer (SSL) all use Which of the following to prevent replay attacks?",Large Key encryption,Single integrity protection,Embedded sequence numbers,Randomly generated nonces,,,,,,,,,,,C
876,,,,"For the purpose of classification, which of the following is used to divide trust domain and trust boundaries?",Network architecture,Integrity,Identity Management (IdM),Confidentiality management,,,,,,,,,,,A
877,,,,An organization is considering outsourcing applications and data to a Cloud Service Provider (CSP). Which of the following is the MOST important concern regarding privacy?,The CSP determines data criticality.,The CSP provides end-to-end encryption services.,The CSP’s privacy policy may be developer by the organization.,The CSP may not be subject to the organization’s country legation.,,,,,,,,,,,D
878,,,,An organization has implemented a new backup process which protects confidential data by encrypting the information stored on backup tapes. Which of the following is a MAJOR data confidentiality concern after the implementation of this new backup process?,Tape backup rotation,Pre-existing backup tapes,Tape backup compression,Backup tape storage location,,,,,,,,,,,D
879,,,,Why should Open Web Application Security Project (OWASP) Application Security Verification standards (ASVS) Level 1 be considered a MINIMUM level of protection for any web application?,ASVS Level 1 ensures that applications are invulnerable to OWASP top 10 threats.,Opportunistic attackers will look for any easily exploitable vulnerable applications.,Most regulatory bodies consider ASVS Level 1 as a baseline set of controls for applications.,Securing applications at ASVS Level 1 provides adequate protection for sensitive data.,,,,,,,,,,,B
880,,,,Continuity of operations is BEST supported by which of the following?,"Confidentiality, availability, and reliability","Connectivity, reliability, and redundancy","Connectivity, reliability, and recovery","Confidentiality, integrity, and availability",,,,,,,,,,,B
881,,,,Which of the following is the PRIMARY risk associated with Extensible Markup Language (XML) applications?,Users can manipulate the code.,The stack data structure cannot be replicated.,The stack data structure is repetitive.,Potential sensitive data leakage.,,,,,,,,,,,A
882,,,,"To control the scope of a Business Continuity Management (BCM) system, a security practitioner should identify which of the following?","Size, nature, and complexity of the organization",Business needs of the security organization,All possible risks,Adaptation model for future recovery planning,,,,,,,,,,,B
883,,,,An organization wants to enable uses to authenticate across multiple security domains. To accomplish this they have decided to use Federated Identity Management (F1M). Which of the following is used behind the scenes in a FIM deployment?,Standard Generalized Markup Language (SGML),Extensible Markup Language (XML),Security Assertion Markup Language (SAML),Transaction Authority Markup Language (XAML),,,,,,,,,,,C
884,,,,Which of the following is used to support the concept of defense in depth during the development phase of a software product?,Maintenance hooks,Polyinstiation,Known vulnerability list,Security auditing,,,,,,,,,,,B
885,,,,What type of access control determines the authorization to resource based on pre-defined job titles within an organization?,Role-Based Access Control (RBAC),Role-based access control,Non-discretionary access control,Discretionary Access Control (DAC),,,,,,,,,,,A
886,,,,What is a warn site when conducting Business continuity planning (BCP),"A location, other than the normal facility, used to process data on a daily basis",An area partially equipped with equipment and resources to recover business functions,A place void of any resources or equipment except air conditioning and raised flooring,An alternate facility that allows for Immediate cutover to enable continuation of business functions,,,,,,,,,,,B
887,,,,"Activity to baseline, tailor, and scope security controls tikes place dring which National Institute of Standards and Technology (NIST) Risk Management Framework (RMF) step?",Authorize IS.,Assess security controls.,Categorize Information system (IS).,Select security controls.,,,,,,,,,,,D
888,,,,"Which of the following entails identification of data end links to business processes, applications, and data stores as well as assignment of ownership responsibilities?",Risk management,Security portfolio management,Security governance,Risk assessment,,,,,,,,,,,A
889,,,,What should an auditor do when conducting a periodic audit on media retention?,Check electronic storage media to ensure records are not retained past their destruction date.,Ensure authorized personnel are in possession of paper copies containing Personally Identifiable Information,Check that hard disks containing backup data that are still within a retention cycle are being destroyed,Ensure that data shared with outside organizations is no longer on a retention schedule.,,,,,,,,,,,A
890,,,,Which of the following is TRUE regarding equivalence class testing?,It is characterized by the stateless behavior of a process implemented In a function.,An entire partition can be covered by considering only one representative value from that partition.,Test inputs are obtained from the derived boundaries of the given functional specifications.,It is useful for testing communications protocols and graphical user interfaces.,,,,,,,,,,,C
891,,,,Which one of the following documentation should be included in a Disaster Recovery (DR) package?,"Source code, compiled code, firmware updates, operational log book and manuals.","Data encrypted in original format, auditable transaction data, and recovery instructions for future extraction on demand.","Hardware configuration instructions, hardware configuration software, an operating system image, a data restoration option, media retrieval instructions","System configuration including hardware, software, hardware, interfaces, software Application Programming Interface (API) configuration, data structure",,,,,,,,,,,C
892,,,,"In a dispersed network that lacks central control, which of the following is die PRIMARY course of action to mitigate exposure?","Implement management policies, audit control, and data backups","Implement security policies and standards, access controls, and access limitations","Implement security policies and standards, data backups, and audit controls","Implement remote access policies, shared workstations, and log management",,,,,,,,,,,C
893,,,,"When developing the entitlement review process, which of the following roles is responsible for determining who has a need for the information?",Data Custodian,Data Owner,Database Administrator,Information Technology (IT) Director,,,,,,,,,,,B
894,,,,What steps can be taken to prepare personally identifiable information (PII) for processing by a third party?,It is not necessary to protect PII as long as it is in the hands of the provider.,A security agreement with a Cloud Service Provider (CSP) was required so there is no concern.,The personal information should be maintained separately connected with a one-way reference.,The personal information can be hashed and then the data can be sent to an outside processor.,,,,,,,,,,,C
895,,,,Which of the following are core categories of malicious attack against Internet of Things (IOT) devices?,Packet capture and false data injection,Packet capture and brute force attack,Node capture 3nd Structured Query Langue (SQL) injection,Node capture and false data injection,,,,,,,,,,,D
896,,,,Which of the following media is LEAST problematic with data remanence?,Dynamic Random Access Memory (DRAM),Electrically Erasable Programming Read-Only Memory (BPRCM),Flash memory,Magnetic disk,,,,,,,,,,,A
897,,,,Which of the following is the MOST important consideration that must be taken into account when deploying an enterprise patching solution that includes mobile devices?,Service provider(s) utilized by the organization,Whether it will impact personal use,Number of mobile users in the organization,Feasibility of downloads due to available bandwidth,,,,,,,,,,,C
898,,,,What form of attack could this represent?,A Denial of Service (DoS) attack against the gateway router because the router can no longer accept packets from,A transport layer attack that prevents the resolution of 10.102.10.6 address,A Denial of Service (DoS) attack against 10.102.10.2 because it cannot respond correctly to ARP requests,A masquerading attack that sends packets intended for 10.102.10.6 to 10.102.10.2,,,,,,,,,,,D
899,,,,Which of the following is the BEST technique to facilitate secure software development?,Adhere to secure coding practices for the software application under development.,Conduct penetrating testing for the software application under development.,Develop a threat modeling review for the software application under development.,Perform a code review process for the software application under development.,,,,,,,,,,,A
900,,,,What is the MOST effective way to determine a mission critical asset in an organization?,Vulnerability analysis,business process analysis,Threat analysis,Business risk analysis,,,,,,,,,,,B
901,,,,A security professional has been requested by the Board of Directors and Chief Information Security Officer (CISO) to perform an internal and external penetration test. What is the BEST course of action?,Review data localization requirements and regulations.,"Review corporate security policies and procedures,",With notice to the Configuring a Wireless Access Point (WAP) with the same Service Set Identifier external test.,"With notice to the organization, perform an external penetration test first, then an internal test.",,,,,,,,,,,D
902,,,,Building blocks for software-defined networks (SDN) require which of the following?,The SDN is mostly composed of virtual machines (VM).,The SDN is composed entirely of client-server pairs.,Virtual memory is used in preference to random-access memory (RAM).,Random-access memory (RAM) is used in preference to virtual memory.,,,,,,,,,,,C
903,,,,Which of the following is the BEST method to validate secure coding techniques against injection and overflow attacks?,Scheduled team review of coding style and techniques for vulnerability patterns,Using automated programs to test for the latest known vulnerability patterns,The regular use of production code routines from similar applications already in use,Ensure code editing tools are updated against known vulnerability patterns,,,,,,,,,,,B
904,,,,Which of the following is the MAIN benefit of off-site storage?,Cost effectiveness,Backup simplicity,Fast recovery,Data availability,,,,,,,,,,,A
905,,,,A large organization’s human resources and security teams are planning on implementing technology to eliminate manual user access reviews and improve compliance. Which of the following options is MOST likely to resolve the issues associated with user access?,Implement a role-based access control (RBAC) system.,Implement identity and access management (IAM) platform.,Implement a Privileged Access Management (PAM) system.,Implement a single sign-on (SSO) platform.,,,,,,,,,,,B
906,,,,Which of the following system components enforces access controls on an object?,Security perimeter,Access control matrix,Trusted domain,Reference monitor,,,,,,,,,,,B
907,,,,Which of the following BEST describes botnets?,Computer systems on the Internet that are set up to trap people who attempt to penetrate other computer system,Set of related programs that protects the resources of a private network from other networks,Small network inserted in a neutral zone between an organization's private network and the outside public network,Groups of computers that are used to launch destructive attacks,,,,,,,,,,,D
908,,,,What are the PRIMARY responsibilities of security operations for handling and reporting violations and incidents?,"Monitoring and identifying system failures, documenting incidents for future analysis, and scheduling patches for systems","Scheduling patches for systems, notifying the help desk, and alerting key personnel","Monitoring and identifying system failures, alerting key personnel, and containing events","Documenting incidents for future analysis, notifying end users, and containing events",,,,,,,,,,,D
909,,,,What process facilitates the balance of operational and economic costs of protective measures with gains in mission capability?,Risk assessment,Performance testing,Security audit,Risk management,,,,,,,,,,,D
910,,,,Which of the following are all elements of a disaster recovery plan (DRP)?,"Document the actual location of the ORP, developing an incident notification procedure, evaluating costs of critical components","Document the actual location of the ORP, developing an incident notification procedure, establishing recovery locations","Maintain proper documentation of all server logs, developing an incident notification procedure, establishing recovery locations","Document the actual location of the ORP, recording minutes at all ORP planning sessions, establishing recovery locations",,,,,,,,,,,C
911,,,,"An internal audit for an organization recently identified malicious actions by a user account. Upon further investigation, it was determined the offending user account was used by multiple people at multiple locations simultaneously for various services and applications. What is the BEST method to prevent this problem in the future?",Ensure the security information and event management (SIEM) is set to alert.,Inform users only one user should be using the account at a time.,"Ensure each user has their own unique account,",Allow several users to share a generic account.,,,,,,,,,,,A
912,,,,Which of the fallowing statements is MOST accurate regarding information assets?,International Organization for Standardization (ISO) 27001 compliance specifies which information assets must be included in asset inventory.,"S3 Information assets include any information that is valuable to the organization,",Building an information assets register is a resource-intensive job.,Information assets inventory is not required for risk assessment.,,,,,,,,,,,B
913,,,,Which of the following is a secure design principle for a new product?,Build in appropriate levels of fault tolerance.,Utilize obfuscation whenever possible.,Do not rely on previously used code.,Restrict the use of modularization.,,,,,,,,,,,A
914,,,,"The development team has been tasked with collecting data from biometric devices. The application will support a variety of collection data streams. During the testing phase, the team utilizes data from an old production database in a secure testing environment. What principle has the team taken into consideration?",biometric data cannot be changed.,Separate biometric data streams require increased security.,The biometric devices are unknown.,Biometric data must be protected from disclosure.,,,,,,,,,,,A
915,,,,A retail company is looking to start a development project that will utilize open source components in its code for the first time. The development team has already acquired several ‘open source components and utilized them in proof of concept (POC) code. The team recognizes that the legal and operational risks are outweighed by the benefits of open-source software use. What MUST the organization do next?,Mandate that all open-source components be approved by the Information Security Manager (ISM).,Scan all open-source components for security vulnerabilities.,Establish an open-source compliance policy.,Require commercial support for all open-source components.,,,,,,,,,,,C
916,,,,Which of the following threats would be MOST likely mitigated by monitoring assets containing open source libraries for vulnerabilities?,Distributed denial-of-service (DDoS) attack,Zero-day attack,Phishing attempt,Advanced persistent threat (APT) attempt,,,,,,,,,,,A
917,,,,"In an IDEAL encryption system, who has sole access to the decryption key?",System owner,Data owner,Data custodian,System administrator,,,,,,,,,,,B
918,,,,"Which security audit standard provides the BEST way for an organization to understand a vendor's Information Systems (IS) in relation to confidentiality, integrity, and availability?",Statement on Auditing Standards (SAS) 70,Service Organization Control (SOC) 2,Service Organization Control (SOC) 1,Statement on Standards for Attestation Engagements (SSAE) 18,,,,,,,,,,,B
919,,,,"A healthcare insurance organization chose a vendor to develop a software application. Upon review of the draft contract, the information security professional notices that software security is not addressed. What is the BEST approach to address the issue?",Update the service level agreement (SLA) to provide the organization the right to audit the vendor.,Update the service level agreement (SLA) to require the vendor to provide security capabilities.,Update the contract so that the vendor is obligated to provide security capabilities.,Update the contract to require the vendor to perform security code reviews.,,,,,,,,,,,C
920,,,,A cloud hosting provider would like to provide a Service Organization Control (SOC) report relevant to its security program. This report should an abbreviated report that can be freely distributed. Which type of report BEST meets this requirement?,SOC 1,SOC 2 Type I,SOC 2 Type II,SOC 3,,,,,,,,,,,D
921,,,,What are the three key benefits that application developers should derive from the northbound application programming interface (API) of software defined networking (SDN)?,"Familiar syntax, abstraction of network topology, and definition of network protocols","Network syntax, abstraction of network flow, and abstraction of network protocols","Network syntax, abstraction of network commands, and abstraction of network protocols","Familiar syntax, abstraction of network topology, and abstraction of network protocols",,,,,,,,,,,C
922,,,,What is the BEST approach to anonymizing personally identifiable information (PII) in a test environment?,Randomizing data,Swapping data,Encrypting data,Encoding data,,,,,,,,,,,C
923,,,,Which of the following features is MOST effective in mitigating against theft of data on a corporate mobile device which has been stolen?,Mobile Device Management (MDM) with device wipe,Whole device encryption with key escrow,Virtual private network (VPN) with traffic encryption,Mobile device tracking with geolocation,,,,,,,,,,,A
924,,,,"A company developed a web application which is sold as a Software as a Service (SaaS) solution to the customer. The application is hosted by a web server running on a ‘specific operating system (OS) on a virtual machine (VM). During the transition phase of the service, it is determined that the support team will need access to the application logs. Which of the following privileges would be the MOST suitable?",Administrative privileges on the OS,Administrative privileges on the web server,Administrative privileges on the hypervisor,Administrative privileges on the application folders,,,,,,,,,,,D
925,,,,At which phase of the software assurance life cycle should risks associated with software acquisition strategies be identified?,Follow-on phase,Planning phase,Monitoring and acceptance phase,Contracting phase,,,,,,,,,,,C
926,,,,How should the retention period for an organization's social media content be defined?,Wireless Access Points (AP),Token-based authentication,Host-based firewalls,Trusted platforms,,,,,,,,,,,C
927,,,,The initial security categorization should be done early in the system life cycle and should be reviewed periodically. Why is it important for this to be done correctly?,It determines the security requirements.,It affects other steps in the certification and accreditation process.,It determines the functional and operational requirements.,The system engineering process works with selected security controls.,,,,,,,,,,,B
928,,,,"Which part of an operating system (OS) is responsible for providing security interfaces among the hardware, OS, and other parts of the computing system?",Time separation,Trusted Computing Base (TCB),Reference monitor,Security kernel,,,,,,,,,,,D
929,,,,Which of the following is the MOST effective strategy to prevent an attacker from disabling a network?,Test business continuity and disaster recovery (DR) plans.,"Design networks with the ability to adapt, reconfigure, and fail over.",Implement network segmentation to achieve robustness.,Follow security guidelines to prevent unauthorized network access.,,,,,,,,,,,D
930,,,,Who should perform the design review to uncover security design flaws as part of the Software Development Life Cycle (SDLC)?,The business owner,security subject matter expert (SME),The application owner,A developer subject matter expert (SME),,,,,,,,,,,B
931,,,,What should be used to determine the risks associated with using Software as a Service (SaaS) for collaboration and email?,Cloud access security broker (CASB),Open Web Application Security Project (OWASP),Process for Attack Simulation and Threat Analysis (PASTA),Common Security Framework (CSF),,,,,,,,,,,A
932,,,,How does Radio-Frequency Identification (RFID) assist with asset management?,It uses biometric information for system identification.,It uses two-factor authentication (2FA) for system identification.,It transmits unique Media Access Control (MAC) addresses wirelessly.,It transmits unique serial numbers wirelessly.,,,,,,,,,,,B
933,,,,Which of the following techniques evaluates the secure design principles of network OF software architectures?,Risk modeling,Threat modeling,Fuzzing,Waterfall method,,,,,,,,,,,B
934,,,,"To comply with industry requirements, a security assessment on the cloud server should identify which protocols and weaknesses are being exposed to attackers on the Internet. Which of the following tools is the MOST appropriate to complete the assessment?",Use tcpdump and parse the output file in a protocol analyzer.,Use an IP scanner and target the cloud WAN network addressing,Run netstat in each cloud server and retrieve the running processes.,Use nmap and set the servers’ public IPs as the targets.,,,,,,,,,,,D
935,,,,"When recovering from an outage, what is the Recovery Point Objective (RPO), in terms of data recovery?",The RPO is the maximum amount of time for which loss of data is acceptable.,The RPO is the minimum amount of data that needs to be recovered.,The RPO is a goal to recover a targeted percentage of data lost.,The RPO is the amount of time it takes to recover an acceptable percentage of data lost.,,,,,,,,,,,B
936,,,,What is the BEST reason to include supply chain risks in a corporate risk register?,Risk registers help fund corporate supply chain risk management (SCRM) systems.,Risk registers classify and categorize risk and allow risks to be compared to corporate risk appetite.,Risk registers can be used to illustrate residual risk across the company.,Risk registers allow for the transfer of risk to third parties.,,,,,,,,,,,B
937,,,,The European Union (EU) General Data Protection Regulation (GDPR) requires organizations to implement appropriate technical and organizational measures to ensure a level of security appropriate to the risk. The Data Owner should therefore consider which of the following requirements?,Data masking and encryption of personal data,Only to use encryption protocols approved by EU,Anonymization of personal data when transmitted to sources outside the EU,Never to store personal data of EU citizens outside the EU,,,,,,,,,,,D
938,,,,When MUST an organization's information security strategic plan be reviewed?12,"Quarterly, when the organization's strategic plan is updated34",Whenever there are significant changes to a major application56,"Every three years, when the organization's strateg7ic plan is updated8",Whenever there are major changes to the bus9iness,,,,,,,,,,,D
939,,,,What is the FIRST step in reducing the exposure of a network to Internet Control Message Protocol (ICMP) based attacks?,Implement egress filtering at the organization's network boundary.,Implement network access control lists (ACL).,Implement a web application firewall (WAF).,Implement an intrusion prevention system (IPS).,,,,,,,,,,,B
940,,,,Which of the following should exist in order to perform a security audit?,Industry framework to audit against,External (third-party) auditor,Internal certified auditor,Neutrality of the auditor,,,,,,,,,,,D
941,,,,"What is the PRIMARY purpose of auditing, as it relates to the security review cycle?",To ensure the organization's controls and pokies are working as intended,To ensure the organization can still be publicly traded,To ensure the organization's executive team won't be sued,To ensure the organization meets contractual requirements,,,,,,,,,,,A
942,,,,"While performing a security review for a new product, an information security professional discovers that the organization's product development team is proposing to collect government-issued identification (ID) numbers from customers to use as unique customer identifiers. Which of the following recommendations should be made to the product development team?",Customer identifiers should be a variant of the user’s government-issued ID number.,Customer identifiers that do not resemble the user’s government-issued ID number should be used.,Customer identifiers should be a cryptographic hash of the user's government-issued ID number.,"Customer identifiers should be a variant of the user’s name, for example, “jdoe” or “john.doe.”",,,,,,,,,,,C
943,,,,Which of the following is a risk matrix?,A database of risks associated with a specific information system.,A table of risk management factors for management to consider.,"A two-dimensional picture of risk for organizations, products, projects, or other items of interest.",A tool for determining risk management decisions for an activity or system.,,,,,,,,,,,C
944,,,,Which of the following is a canon of the (ISC)2 Code of Ethics?,"Integrity first, association before serf, and excellence in all we do",Perform all professional activities and duties in accordance with all applicable laws and the highest ethical standards.,Provide diligent and competent service to principals.,Cooperate with others in the interchange of knowledge and ideas for mutual security.,,,,,,,,,,,C
945,,,,An organization contracts with a consultant to perform a System Organization Control (SOC) 2 audit on their internal security controls. An auditor documents a finding related to an Application Programming Interface (API) performing an action that is not aligned with the scope or objective of the system. Which trust service principle would be MOST applicable in this situation?,Processing Integrity,Availability,Confidentiality,Security,,,,,,,,,,,B
946,,,,What is the MOST appropriate hierarchy of documents when implementing a security program?10,"Organization principle, policy, standard, guideline11","Policy, organization principle, standard, guideline12","Standard, policy, organization principle, guideline13","Organization principle, guideline, policy, standard14",,,,,,,,,,,C
947,,,,"In Federated Identity Management (FIM), which of the following represents the concept of federation?",Collection of information logically grouped into a single entity,"Collection, maintenance, and deactivation of user objects and attributes in one or more systems, directories or applications",Collection of information for common identities in a system,Collection of domains that have established trust among themselves,,,,,,,,,,,D
948,,,,Which combination of cryptographic algorithms are compliant with Federal Information Processing Standard (FIPS) Publication 140-2 for non-legacy systems?,Diffie-hellman (DH) key exchange: DH (>=2048 bits) Symmetric Key: Advanced Encryption Standard (AES) > 128 bits Digital Signature: Rivest-Shamir-Adleman (RSA) (1024 bits),Diffie-hellman (DH) key exchange: DH (>=2048 bits) Symmetric Key: Advanced Encryption Standard (AES) > 128 bits Digital Signature: Digital Signature Algorithm (DSA) (>=2048 bits),Diffie-hellman (DH) key exchange: DH (<= 1024 bits) Symmetric Key: Blowfish Digital Signature: Rivest-Shamir-Adleman (RSA) (>=2048 bits),Diffie-hellman (DH) key exchange: DH (>=2048 bits) Symmetric Key: Advanced Encryption Standard (AES) < 128 bits Digital Signature: Elliptic Curve Digital Signature Algorithm (ECDSA) (>=256 bits),,,,,,,,,,,B
